job_role,year,demand_index,skill_trend,auto_risk,survival_score,survival_yoy_change
AI Engineer,2019,100.88666666666667,6.505333333333334,0.4482,55.24,
AI Engineer,2020,107.14999999999999,6.412857142857143,0.5572142857142858,50.04,-5.2
AI Engineer,2021,111.72,6.426,0.479,55.05,5.01
AI Engineer,2022,124.34444444444443,5.598888888888889,0.7662222222222222,39.91,-15.14
AI Engineer,2023,119.40625,5.748125,0.7123125,42.36,2.45
AI Engineer,2024,141.275,6.33,0.50975,57.65,15.29
AI Engineer,2025,144.22307692307692,7.134615384615385,0.4126153846153846,64.64,6.99
Accountant,2019,98.63846153846154,6.118461538461539,0.8313076923076923,33.25,
Accountant,2020,109.26666666666667,6.151666666666666,0.895,31.39,-1.86
Accountant,2021,112.94615384615385,5.833846153846154,0.8623076923076923,33.27,1.88
Accountant,2022,122.2,5.676,0.9571999999999999,29.2,-4.07
Accountant,2023,129.74285714285716,6.206428571428572,0.8540714285714286,36.8,7.6
Accountant,2024,139.13076923076923,5.7907692307692304,0.8933076923076922,35.42,-1.38
Accountant,2025,134.7,6.537777777777778,0.855111111111111,37.98,2.56
BI Developer,2019,100.07272727272726,5.665454545454545,0.8449090909090909,32.04,
BI Developer,2020,103.31818181818181,6.41,0.6489090909090909,44.42,12.38
BI Developer,2021,111.65625,5.8575,0.7461875,39.49,-4.93
BI Developer,2022,118.98333333333333,6.32,0.6713333333333332,45.4,5.91
BI Developer,2023,122.58,5.952,0.8128,37.61,-7.79
BI Developer,2024,132.4125,5.73375,0.849125,36.76,-0.85
BI Developer,2025,148.09,5.748,0.9175000000000001,35.37,-1.39
Business Analyst,2019,101.76666666666667,6.674666666666667,0.5883333333333333,47.92,
Business Analyst,2020,107.5,5.734999999999999,0.7505,38.45,-9.47
Business Analyst,2021,117.01538461538462,6.092307692307693,0.7016923076923077,43.1,4.65
Business Analyst,2022,125.13333333333333,6.361666666666667,0.7385,42.69,-0.41
Business Analyst,2023,126.13846153846154,6.576153846153847,0.6697692307692308,46.95,4.26
Business Analyst,2024,138.94117647058823,6.51,0.620764705882353,51.46,4.51
Business Analyst,2025,144.99375,6.3793750000000005,0.687375,48.51,-2.95
Cloud Architect,2019,101.6923076923077,6.0649999999999995,0.5831538461538461,47.28,
Cloud Architect,2020,106.96666666666667,6.184444444444445,0.641888888888889,45.02,-2.26
Cloud Architect,2021,114.11764705882354,6.350588235294118,0.5289411764705882,52.55,7.53
Cloud Architect,2022,124.58333333333333,6.228333333333333,0.6111666666666666,49.42,-3.13
Cloud Architect,2023,123.53333333333335,6.0225,0.6205833333333334,48.43,-0.99
Cloud Architect,2024,141.62727272727273,5.91090909090909,0.7006363636363636,46.58,-1.85
